,Escola;ID;Aluno;CPF;Idade
0,ABC;782707;Aline Rosa Ferreira;CPF: 12345678910;36
1,Filho;437686;Amanda Martins;CPF: 12345678911;38
0,ABC;310916;Angela Maria Silva;CPF: 12345678912;25
1,ABC;760926;Carlos Moreira;CPF: 12345678913;23
0,Filho;557848;Eliane Moreira;CPF: 12345678914;35
1,ABC;758465;Leonardo Almeida;CPF: 12345678915;30
0,ABC;235215;Nicolas Pereira;CPF: 12345678916;57
1,ABC;751595;Paulo Santos Alves;CPF: 12345678917;45
0,ABC;760936;Raul Silva;CPF: 12345678918;39
1,Filho;557858;Reinaldo Assis;CPF: 12345678919;26
2,ABC;758475;Eduardo Pires;CPF: 12345678920;39
